chromosome	start	end	entrezid
19	18979361	19007536	2657
10	81315608	81320153	729238
3	4344988	4359251	6419
11	66188475	66194178	266743
5	111478138	111755013	64097
HSCHR6_MHC_APD	28870783	28891771	5987
22	29469066	29564321	83999
15	56713742	56757335	55329
X	119495967	119516226	23439
13	31710762	31736525	10808
2	71127720	71160576	25806
3	167159577	167196792	5276
11	64755415	64764517	116071
X	14026398	14048012	54960
1	23516993	23521222	3352
HSCHR6_MHC_QBL	30109273	30118261	10107
20	62184373	62188061	79025
2	24232951	24286191	388931
1	205305220	205326218	55220
12	112279782	112334343	8550
11	10594638	10715535	10335
16	34597783	34624955	283914
3	42438570	42452092	131375
17	66243715	66253297	51321
12	54694986	54745633	22818
14	20914570	20923264	55644
HSCHR6_MHC_QBL	32106368	32109724	177
HSCHR6_MHC_DBB	30529391	30555197	23
19	8023463	8070543	1994
17	47300724	47308128	162466
20	5080486	5093749	29058
2	27593389	27599995	9784
7	99474581	99517223	89122
1	150266289	150281414	54460
11	3692313	3819022	4928
3	181429714	181432221	6657
2	74724644	74730443	85474
10	126085872	126107545	4942
2	152689290	152955593	785
11	64008475	64011604	2286
8	88882973	88886296	138009
X	14547420	14749934	2742
19	41949063	41950670	100170765
5	31193857	31329253	1004
1	45468212	45477001	79654
11	64781585	64789656	402
11	66202546	66234209	65003
20	62189439	62205592	85441
22	19023795	19109967	9993
2	74732170	74735707	84759
19	42055886	42093197	90273
5	156277549	156279539	153743
3	131080742	131083966	152195
3	113547029	113666021	54762
1	23630264	23670829	10236
8	89044237	89340254	4325
5	180668814	180668892	619571
19	8117651	8127534	6370
2	114356606	114359144	84771
5	180670312	180670379	619570
22	29601840	29655586	129080
X	49160148	49176323	643832
2	172290727	172341562	80067
3	182511288	182639423	23200
6	159455500	159466184	117289
X	49178536	49185863	100132399
X	49178536	49185863	100008586
X	49178536	49185863	729396
X	49178536	49185863	729408
X	49178536	49185863	2576
1	205350506	205425082	93273
1	42619092	42621495	2981
2	24252210	24272445	80304
X	49188094	49195366	645051
2	71163012	71192536	525
2	62727356	62739029	200728
X	49197607	49204923	100101629
X	49197607	49204923	26749
HSCHR6_MHC_QBL	30120533	30130023	89870
3	50263724	50296787	2771
HG104_HG975_PATCH	145094584	145129202	375686
HSCHR6_MHC_APD	28962606	28973138	282890
X	49207160	49214420	100101629
X	49207160	49214420	729408
6	43479565	43484728	25844
X	49216659	49223943	100008586
X	49216659	49223943	2576
X	153576892	153603006	2316
1	47394849	47407156	284541
1	47394849	47407156	1579
HSCHR6_MHC_QBL	33097048	33101042	7922
12	30781922	30848920	10526
HG104_HG975_PATCH	145160798	145162819	54512
X	49226182	49233481	645037
X	49226182	49233481	2574
17	48503519	48552206	80221
3	42530791	42579059	7433
1	42628362	42630389	2980
15	100017370	100256671	4205
2	203241659	203432474	659
2	96687694	96705199	150763
X	49235708	49242997	645037
X	49235708	49242997	2574
11	767220	777488	347862
3	75470703	75484261	692099
11	64011956	64014413	26472
Y	21034387	21239302	83869
Y	21034387	21239302	55410
2	946554	1371385	54221
17	71161151	71167185	6752
9	130670165	130679317	27090
5	100142639	100238970	7903
18	52568740	52626739	80323
HSCHR6_MHC_APD	29012035	29013062	26692
X	49296814	49304141	100132399
X	74588262	74743337	158866
HSCHR6_MHC_APD	29054028	29055133	442184
X	70711529	70712778	27160
11	66234216	66244808	246330
HG104_HG975_PATCH	145164762	145168388	8733
10	88695297	88729238	79812
19	42125344	42133442	1089
8	16849678	16859690	26281
HSCHR6_MHC_APD	29079708	29080643	442186
HSCHR6_MHC_APD	29141357	29142397	26707
2	84517806	84519326	388965
7	2443223	2474242	55501
2	24272571	24286551	2281
2	109745804	110262207	344558
11	58975983	58980424	219972
HSCHR6_MHC_APD	29274489	29275605	442191
11	59131885	59132921	390195
5	82360023	82360156	677765
15	65903704	65953333	9187
X	14861529	14891191	2187
X	49306370	49313697	100132399
11	59189416	59190449	219981
15	56922379	57210769	145783
15	56922379	57210769	54816
HSCHR6_MHC_APD	29393366	29424928	26531
11	59210617	59211667	219982
5	35904397	35938881	133690
X	49315936	49323252	100132399
11	59224411	59225464	219983
4	169013666	169108841	11199
12	56390964	56400425	6821
HSCHR6_MHC_APD	29407167	29408815	442194
11	59244846	59245869	390197
11	64781654	64808042	29907
1	42642210	42801548	22887
1	150293925	150325671	9129
11	59271049	59271984	219986
12	121647660	121671909	5025
7	2552163	2568811	3955
11	59282386	59283330	390199
10	134000404	134019280	10570
8	16884747	16980153	286097
6	26636518	26659980	79692
4	129786076	130014764	132320
19	42177235	42210895	1087
HSCHR6_MHC_APD	29425038	29432186	26716
17	46018872	46025654	55163
16	67977377	68003504	6560
11	59341871	59383617	5007
17	71189129	71204646	9382
11	64794880	64808044	29907
X	119561682	119603220	3920
22	29655841	29664198	25807
5	101569690	101632253	353189
11	64018995	64036622	5331
15	30916697	31065196	89839
19	8130286	8214730	84467
9	15163620	15307358	158219
6	144416018	144416754	83443
HSCHR6_MHC_QBL	33101245	33103438	7923
2	62900986	63273622	23301
HSCHR6_MHC_APD	29454555	29455819	116511
10	90965694	90967071	9023
5	80529104	80562216	1160
5	134181370	134195427	134553
X	14891563	14940449	158747
12	113587663	113597081	387885
7	99520892	99527243	349149
8	38831683	38846181	203100
12	57449426	57481846	23306
3	167196472	167371771	151790
5	94039446	94620279	79772
13	31774073	31906413	145173
HSCHR6_MHC_QBL	30141750	30170728	7726
2	24290454	24299313	51639
6	144471663	144509507	8676
X	49325479	49332808	100008586
X	49325479	49332808	2576
9	130683158	130693076	138429
7	143087382	143105985	2041
X	49335037	49342357	100008586
X	49335037	49342357	2576
16	725666	728268	9028
1	205473723	205501921	5129
6	31686425	31689622	80740
3	131197941	131198077	677836
7	2577511	2595361	221927
1	47427036	47516423	260293
1	23685941	23695935	80818
19	42212504	42233718	1048
7	135242667	135333505	23165
X	49354132	49361430	729447
X	49354132	49361430	2574
7	149244245	149321843	79970
17	60342066	60353016	440452
6	159590429	159693141	84624
20	62218955	62258394	26205
11	59404189	59436453	219988
HSCHR6_MHC_COX	31624311	31628739	58496
19	40885178	40896094	147746
X	49363628	49373139	2576
X	49363628	49373139	2543
HSCHR6_MHC_SSTO	31918709	31929380	6499
15	31196055	31235311	22909
11	32457064	32480315	51352
4	158493642	158497306	340017
10	103370423	103455052	6468
1	23695490	23698332	148898
8	38846327	38854343	83877
10	90973326	91174314	3988
19	47341393	47354249	1175
7	140419127	140624564	673
10	81370695	81375196	729238
10	81370695	81375196	653509
6	45868045	46048132	53405
HSCHR6_MHC_QBL	33105102	33109329	6015
20	5095599	5107272	5111
HSCHR4_1	69394991	69419037	7366
11	66247484	66277130	10072
8	17013538	17082308	51201
12	113594979	113623284	79039
5	134209493	134237215	79770
2	69092613	69098649	27302
13	32313674	32377009	122042
14	77787227	77797940	2954
17	36046435	36105237	6928
1	23707554	23751233	6920
19	53430388	53445854	399669
19	40899675	40919273	57716
12	85408094	85430055	144448
1	42846466	42888249	284716
12	67663061	67713731	55832
7	108210012	108215294	4189
1	47533160	47583991	199974
2	187692562	187713935	151112
HSCHR6_MHC_COX	31631877	31639232	80741
19	53471504	53541151	79986
HSCHR4_1	69564040	69580068	7365
9	130697378	130700763	8818
X	49452053	49460596	8712
20	62271061	62284780	50861
2	180809603	180871840	57703
10	76585340	76792380	23522
17	27206353	27224697	2319
19	47421933	47508334	2909
16	730224	732870	10273
11	64808373	64812300	29901
12	130880682	131200826	23504
4	169137444	169239958	55601
8	90769975	90803291	8767
12	7623409	7656489	9332
1	42896000	42921938	84217
X	15253410	15288589	140462
1	47603107	47615413	284541
1	47603107	47615413	1579
2	69172364	69180102	200504
17	34580902	34757050	729877
17	34580902	34757050	729873
10	44282860	44285865	10151
6	41117080	41122075	340205
1	45477819	45481247	7389
6	13786789	13814800	63933
10	135267432	135337062	619207
8	17086737	17104387	29883
6	75794042	75915767	1303
8	38854388	38962663	8754
19	29456038	29461781	148145
7	143140546	143141502	338398
14	31915242	31926716	112487
7	143174966	143175889	259287
14	20923350	20925927	328
2	74740590	74744274	3196
18	22006580	22033499	55364
19	40927499	40931932	29950
19	47523077	47549033	4861
11	108179246	108338258	160140
5	34656342	34832732	26064
HSCHR6_MHC_QBL	33146871	33168663	6293
7	143268894	143271480	441294
10	43572475	43625799	5979
13	32605437	32870794	10129
10	95066186	95242074	26509
14	96967770	97033448	10914
5	131991955	131996802	3596
17	47366568	47439835	22834
9	130702858	130742792	399665
14	62584197	62596352	646113
22	29663998	29696515	2130
7	102781796	102782386	100129424
2	74745258	74753463	165545
2	203499901	203634480	150864
14	31959162	32330430	80224
2	69201705	69208106	56287
1	42921788	42939056	79717
7	143318043	143427502	285966
15	65950384	66084631	10260
1	44171495	44396831	6487
8	90914087	90940116	734
2	188207856	188313187	10203
1	47649265	47656716	10158
2	228189867	228222550	56947
19	43696854	43711451	5672
Y	21617317	21665039	286554
3	4535032	4889524	3708
X	15298053	15333778	140456
2	201936156	201950473	4709
19	47549165	47551888	54958
2	243030784	243102304	728323
7	99564343	99573780	563
11	64812290	64826021	10004
3	132440594	132593067	348808
X	49593863	49598576	9506
19	40946751	40950612	29946
19	47567444	47617009	23211
11	1940792	1959936	7140
2	198254508	198299815	23451
6	144606837	145174170	7402
1	47681962	47697892	6886
6	52226219	52272575	85315
7	29638411	29724871	646762
17	46029333	46035244	79170
2	110300559	110371783	151011
9	15422702	15465951	6619
3	64079543	64431152	166336
3	141043055	141168634	253461
12	56401443	56432219	64375
17	48912011	48919709	124857
9	130823512	130830485	203245
11	64037302	64052176	572
19	40953696	40971747	645
17	43922256	43924438	162540
X	49644470	49647166	389856
HSCHR6_MHC_APD	29523504	29601074	2550
21	35275757	35288284	539
2	26531415	26618759	85465
5	35951112	36001130	133688
2	24299396	24392509	375190
1	69091	70008	79501
19	55644162	55660722	7138
1	23755056	23811061	55616
17	48939584	48945339	10140
X	71997432	71998921	653687
10	116190872	116444762	3983
X	15337573	15353676	5277
1	367640	368634	729759
6	52285106	52387892	114327
17	61554422	61599205	1636
8	90945564	91015456	4683
1	621059	622053	729759
X	49687225	49863892	1184
6	160090089	160183561	6648
2	102803433	102856462	8808
20	62289163	62328416	51750
6	35182190	35220856	222663
17	47481414	47492246	5245
7	75677369	75696826	4191
15	31231144	31283810	54893
22	19117792	19132197	23617
22	19117792	19132197	8220
16	731671	734529	339123
X	75002823	75005079	139599
17	18280976	18292961	645027
7	99613204	99639312	7586
11	10772534	10801290	9646
6	41126244	41130924	54209
5	101707486	101834720	133482
X	75392771	75398039	51260
19	18979361	19006905	2657
17	26691378	26728065	23098
HSCHR6_MHC_QBL	30283753	30304091	56658
12	112369086	112450970	89894
1	860260	879955	148398
1	42929001	43120335	728621
16	29817427	29823649	4150
7	66274980	66309813	729156
3	157154578	157161417	5806
3	172468472	172539264	1894
2	74753772	74757066	550
X	75648046	75651744	57692
3	12775024	12810956	55287
9	130830480	130871524	114789
1	205538013	205572046	148808
6	41158015	41168932	79865
7	140705854	140715028	51650
16	86365450	86383289	732275
Y	21729199	21768160	246126
4	130014472	130037795	132321
7	38762563	38971994	27072
HSCHR4_1	69676504	69699836	79799
17	4046462	4090605	124936
12	54756229	54758271	53831
3	157261035	157395538	152078
13	32877837	32889481	646799
1	47715811	47779819	6491
X	15363713	15402498	2277
17	79476997	79490873	71
17	79476997	79490873	60
21	35445524	35515334	64968
10	134020996	134145351	282974
HSCHR6_MHC_COX	32044940	32046524	63943
17	43971748	44105700	4137
22	19118321	19120134	23617
9	15464064	15511017	11168
11	64037534	64056972	56834
11	66276550	66301084	582
22	19136089	19137796	2928
19	40972148	41082370	57731
19	19010323	19030206	11316
19	47616531	47713886	10055
HG79_PATCH	136080664	136084628	29989
8	17104080	17159936	137492
X	76760356	77041702	546
21	35445870	35478561	6526
19	43715943	43773682	5678
21	35445870	35478559	6526
10	126135592	126138753	390010
7	108524032	108524644	154907
12	54762917	54785082	25946
HSCHR6_MHC_COX	32064598	32070614	80863
22	19163095	19166343	6576
18	52889562	53332018	6925
13	32889611	32973805	675
HSCHR19_2_CTG3	21915047	21959807	163227
X	15402921	15511687	8544
20	5107432	5178533	8760
5	134240596	134343649	84105
21	35736323	35743688	9992
1	205577071	205601090	2005
16	29823177	29827201	112476
16	734622	740444	84219
2	24300303	24308731	9540
12	7801996	7818499	339
1	150335567	150449042	23248
2	102927962	102968497	9173
7	110303110	111202573	83943
10	126150403	126306457	64077
21	35747779	35780164	54065
3	132276982	132379567	84129
12	85430092	85657002	84125
3	64501333	64673676	56999
15	57210821	57591479	6938
2	201980827	202041410	8837
14	101123587	101142406	283601
X	73012040	73049066	9383
6	160146617	160177351	9589
6	25652464	25702011	10590
17	33900676	33900772	692076
6	101846664	102517958	2898
1	205626979	205649587	85414
18	22040593	22059921	59340
6	22287480	22297730	5617
19	53935237	53947923	147804
X	73040486	73072588	7503
16	29827285	29841948	79447
4	169277886	169458937	91351
21	35791013	35796264	3753
16	742500	755829	146330
6	41196062	41206620	285852
11	66278077	66301098	582
3	50316458	50325545	132228
16	29827832	29831438	79447
17	7975954	7991021	242
2	1377995	1547483	7173
2	44543420	44589001	9581
21	35818988	35884573	3753
8	143822362	143823829	57152
5	126853301	126890781	133619
2	73300510	73383849	26056
2	217362912	217443903	6168
5	31400604	31532303	29102
11	118873722	118874156	649946
16	46503253	46603009	124149
8	143831568	143833952	137797
X	119658464	119709649	8450
7	30410987	30412357	222161
11	59480296	59481337	390201
1	205681947	205719404	64710
22	29702572	29708774	10634
4	134070470	134129356	57575
X	15482369	15574652	660
13	32974861	33002315	90634
18	22641890	22932154	25925
14	101245747	101327368	55384
1	43124096	43142429	10465
16	29831715	29859355	9961
X	49955406	49965664	8852
11	108342832	108369159	143888
16	765115	769655	79006
9	130882972	130890741	80142
12	70636774	70748773	4848
7	110731062	110765510	54674
8	143845752	143859640	66004
2	188328957	188430487	7035
11	59480929	59573354	6809
1	47799469	47844511	51727
19	33793763	33795960	80054
3	50325163	50330349	7866
10	33189247	33294720	3688
12	131274145	131323811	2054
17	18380051	18398259	654346
17	18380051	18398259	284194
10	88718375	88723017	6623
11	10818597	10830657	1982
19	42254885	42276113	4680
17	66255323	66418872	22901
4	135117488	135122903	132430
11	118894824	118901616	2542
21	35885440	35987441	1827
10	43633934	43680756	55454
6	160181360	160200144	39
17	46045176	46059140	80279
7	102815580	102920857	349152
17	16586752	16587541	246243
16	770581	772601	65990
HSCHR6_MHC_DBB	32894331	32898843	3108
6	35226686	35263762	7629
HSCHR6_MHC_SSTO	31929439	31931921	1797
7	2598632	2654368	23288
19	43857811	43867480	57126
9	15552895	16061661	203238
22	29708922	29715668	10633
17	33448598	33457751	54752
4	138440072	138453648	54510
20	5282317	5297378	128674
5	80597409	80609116	84240
2	30369807	30383399	51646
10	126307861	126432838	9679
1	205737114	205744588	8934
17	7999218	8022365	59344
19	42300369	42315591	1084
12	118814185	118855840	64426
2	203640690	203736708	130026
6	22569678	22571892	154150
20	5525085	5591672	56261
5	36035119	36071460	167127
8	17155539	17271037	9108
11	64058774	64067503	50801
11	64833772	64851636	113130
4	22694537	22821198	57733
2	120770581	120936695	57669
Y	6110487	6111651	252955
3	157814948	157824292	6474
20	45837859	45985567	23613
2	96778707	96781984	151
X	15579156	15620271	59272
1	47881744	47883723	2301
HG104_HG975_PATCH	144778324	144780583	286076
10	76797594	76818272	338599
13	33006554	33112970	10443
4	109731877	110223813	84570
10	88727949	88743691	10974
12	110810705	110841535	51434
1	47901689	47906363	2306
11	787104	790123	51286
2	228226872	228246711	79853
11	108376158	108464465	23086
14	32545320	32628934	394
16	772582	776954	124093
HSCHR6_MHC_QBL	30302412	30304165	79897
10	49514698	49647403	5599
9	130911350	130915734	3934
19	19030484	19039436	54555
17	36283971	36294915	729877
17	36283971	36294915	414060
11	59573608	59578345	54948
X	73164159	73290243	554203
2	217497551	217529159	3485
1	43148098	43168020	4904
21	36041688	36090525	54102
HSCHR6_MHC_DBB	28962576	28973107	282890
2	30454397	30546596	81606
20	62328021	62330037	8771
6	24126350	24155128	140767
7	141250989	141355044	55750
6	25726291	25726790	221613
18	23596578	23671181	6760
6	25727137	25727573	255626
12	131356424	131362223	5901
10	76854192	76868979	51207
7	143452182	143454789	340307
19	8271620	8327305	79603
12	7842378	7848372	9573
4	23756664	23905712	10891
22	29723669	29819168	162
2	228336868	228425930	3267
11	67559119	67572807	645332
12	7864050	7870155	359787
6	25754927	25781419	10050
11	59596741	59612974	2694
19	42341148	42348760	147719
7	143548468	143599291	9747
3	182655862	182703741	54165
20	62329996	62339377	10139
19	35067638	35068606	643719
1	48688357	48714316	200010
5	112043195	112181936	324
1	205758221	205782876	254428
6	160199530	160210781	677812
6	160199530	160210781	6950
HSCHR6_MHC_COX	32069682	32082453	80864
HSCHR6_MHC_COX	32069682	32082453	9374
19	47724081	47736023	27113
2	172378757	172414643	79901
1	879584	894689	26155
5	141232938	141258811	5097
4	139085251	139163503	23657
11	64067863	64072242	25858
10	88780063	88784487	643161
7	135347244	135378166	647087
7	75831216	75916605	222183
11	108535752	108811657	1662
X	49967364	50094909	85417
8	91013633	91064320	1666
12	57482677	57489259	4665
11	64851695	64855870	7542
21	36160098	37376965	861
17	33455772	33469334	54475
1	45482071	45771881	57643
22	19166986	19279239	8218
8	143866296	143868008	8581
19	42348806	42356401	63946
11	59620273	59634048	6947
13	33160564	33352157	23047
HSCHR6_MHC_APD	29523504	29527818	10537
19	47759237	47775210	26093
15	66018392	66184329	8766
6	43490072	43543812	57510
8	143915663	143997922	2765
11	790475	798316	79751
17	4067201	4167274	51479
11	64073044	64084215	2101
7	135365985	135414006	26266
3	42589461	42642572	9117
HSCHR6_MHC_APD	29555796	29556858	7932
5	132009678	132018368	3565
X	15645441	15683154	57393
11	67776048	67796744	221
12	50101508	50158717	7009
9	130922539	130926207	79095
15	57668165	57842925	84952
HG79_PATCH	136125799	136150736	28
10	88810243	88854623	2746
12	56703626	56710120	10330
X	73183790	73513409	100302692
8	143953772	143961262	1584
1	45792545	45794347	84842
4	169418217	169849608	23022
19	8367011	8373240	51293
5	134303596	134347392	347732
2	30670092	30867091	253558
16	68009566	68014732	64180
1	150459887	150480078	80222
X	15706953	15805747	11238
1	205797150	205819260	148811
17	27224799	27230089	147015
19	47778142	47778979	255783
9	16409501	16870841	54796
17	20352708	20370852	284194
19	55663137	55669141	7137
15	42565431	42645864	2595
12	7882011	7904201	170482
HSCHR6_MHC_DBB	32923568	32927227	6046
19	47793280	47825323	728
10	91061712	91069033	3433
11	3818954	3847601	27315
19	47835404	47846606	27202
12	76738254	76742222	79738
14	20925878	20929771	90809
20	62338817	62367494	84619
Y	15815447	15817904	9087
8	17354597	17428082	6542
6	135502453	135540311	4602
2	71205510	71212626	79998
1	895967	901095	339451
19	42363988	42376994	6223
X	15808595	15841383	8233
HG79_PATCH	136206251	136211933	6838
6	27093676	27100541	8970
10	25137536	25241533	56952
10	43689983	43762367	221002
19	47852538	47885961	9704
HSCHR6_MHC_APD	29624887	29640277	4340
X	119727865	119754929	28985
1	23832922	23857712	1870
6	13924677	13980533	221687
HG104_HG975_PATCH	145133436	145146004	26873
6	160210844	160219468	29074
6	31694815	31698394	23564
5	36098514	36152063	92255
16	776936	785525	84264
6	27100832	27103070	85235
6	27100832	27103070	8969
6	27100832	27103070	8336
6	27100832	27103070	8332
6	27100832	27103070	8330
6	46097730	46114436	22875
12	7917812	7926717	360030
16	29869678	29875057	10423
19	35549963	35597208	100128675
12	56435637	56438116	6231
8	143991975	143999259	1585
6	10393419	10419892	7020
22	29834572	29838444	5988
X	15843929	15873054	8905
1	23884409	23886285	3399
6	27106073	27114619	85236
7	75931861	75933612	3315
11	64083932	64085556	51504
4	139936943	139966906	25819
22	29876219	29887379	4744
6	46126924	46138708	59084
16	68021297	68034489	64174
5	102089685	102366809	5066
2	96789589	96804175	431705
2	217536828	217560248	3488
11	43919006	43921186	729799
8	38964509	39142430	203102
1	48761044	48937845	54558
6	27107076	27108418	121504
6	27107076	27108418	8370
6	27107076	27108418	8368
6	27107076	27108418	8366
6	27107076	27108418	8367
6	27107076	27108418	8365
6	27107076	27108418	8364
6	27107076	27108418	8362
6	27107076	27108418	8363
6	27107076	27108418	8361
6	27107076	27108418	8360
6	27107076	27108418	8359
6	27107076	27108418	8294
11	59807748	59815517	219990
12	85673885	85695562	8092
11	109292846	109299840	399947
15	66187417	66546085	84465
12	113623331	113630173	84934
2	26624784	26679579	92749
11	64856796	64879332	738
Y	16097652	16098393	9084
6	41235664	41254457	54210
17	48541857	48546327	1101
6	105175968	105307794	57531
6	160221298	160241736	154197
6	27114861	27115317	85235
21	37406839	37451687	54093
12	86198331	86230348	9182
12	7940390	7948655	79923
9	17134980	17503921	54875
1	901877	911245	84069
8	91070836	91107703	793
2	73429386	73439641	344022
11	109964087	110042566	85463
3	136055077	136471220	10274
8	144099399	144105249	4061
2	96808905	96811179	1844
1	205882176	205912588	115019
11	59824060	59838601	932
X	16141679	16171144	2925
5	134363425	134370503	5307
19	42381190	42385439	973
12	54789045	54813244	3678
3	5020801	5027008	8553
13	33590207	33640282	9365
2	217724181	217724787	7141
11	44995453	44999579	221122
3	12837971	12913415	23066
11	64085560	64089283	25824
20	62340216	62370456	54923
17	40701232	40707231	3292
6	41303393	41318625	9436
Y	16168097	16168838	9084
22	29901868	29951205	8563
1	24018269	24022915	6135
10	91087651	91100728	3437
X	50334647	50557302	57477
2	73441350	73454365	10322
HSCHR6_MHC_DBB	32949907	32955340	3111
6	27215480	27224403	10279
10	71163659	71176623	6865
14	32798479	33300567	9472
5	132028320	132073330	11127
20	62366815	62370456	54923
2	24338241	24346347	375189
10	103529899	103535854	2253
4	139949266	140098372	1998
3	50330262	50336899	8372
HSCHR6_MHC_COX	31642141	31658607	7920
17	71203492	71232892	84923
X	16606126	16731059	56474
12	113633246	113658899	115811
1	43198764	43205925	149461
HG79_PATCH	136216440	136223666	6837
11	10833621	10880343	58486
7	66752528	66767894	5382
19	8373167	8386263	4701
6	160327974	160329108	4142
11	66288108	66313709	254359
Y	22627554	22681114	246119
2	113239731	113299316	150465
12	68042118	68059186	8445
16	18582484	18609650	653190
11	1968508	2005752	6150
13	33677272	33924767	90627
12	76745577	76953589	114882
3	182733006	182833863	56922
19	19040010	19052070	9454
19	8373490	8386280	4701
11	11292423	11643552	374378
3	5163905	5222596	55207
2	71213068	71222075	113419
HSCHR6_MHC_QBL	30446762	30451500	3133
7	99647390	99662661	7589
7	75956116	75988348	7532
8	17433942	17501580	5157
HSCHR6_MHC_SSTO	31930804	31941075	8859
2	96850597	96874563	56910
1	910579	917497	84808
9	130928343	130966662	25792
10	134145614	134195010	80313
12	56473641	56497289	2065
1	48998527	50489585	84871
7	76018651	76039012	136853
Y	6258472	6279605	100101116
6	25783125	25832287	6568
20	62371214	62374858	56731
X	119759648	119764005	29071
16	779753	791329	64428
17	66263167	66287408	9120
12	119419300	119600856	84530
Y	16634518	16957530	22829
5	141303373	141321612	9812
17	49039535	49198226	9043
2	24397938	24423718	653140
19	8386042	8388224	6234
11	66313866	66330800	89
19	55670031	55678090	352909
X	120006457	120009779	643311
6	52362200	52441713	9697
11	11373489	11374904	283106
19	55219700	55224955	79166
6	24171984	24358280	51473
2	172543919	172604930	1781
X	120011344	120066151	728096
X	120011344	120066151	728090
X	120011344	120066151	728062
X	120011344	120066151	728042
X	120011344	120066151	728036
X	120011344	120066151	653282
X	120011344	120066151	255313
9	17579080	17797127	6456
11	110045605	110167447	5962
14	20937113	20945253	4860
15	31293264	31453476	4308
7	39017598	39532694	11281
X	120067700	120071012	728096
X	120067700	120071012	728090
X	120067700	120071012	728062
X	120067700	120071012	728042
X	120067700	120071012	728036
X	120067700	120071012	653282
X	120067700	120071012	255313
12	110872630	110888227	10094
HG7_PATCH	141607613	141806547	8972
15	57884106	58006943	145781
6	160390131	160534539	3482
1	206136916	206155151	729533
4	110354928	110462052	10427
HSCHR22_1_CTG2	39353528	39358842	200315
2	102927989	103015218	8809
1	49193195	49242641	79656
3	167401086	167452727	11235
8	91634223	91803860	169200
6	31698358	31707540	1192
5	104435174	104435799	9366
3	185633694	185655924	6434
17	48556161	48563336	55316
1	43212006	43232755	64175
HSCHR6_MHC_DBB	29012004	29013031	26692
Y	6311475	6315118	252953
12	57489191	57525922	6778
21	37442239	37445464	873
22	29950797	29977326	8508
X	16668281	16672793	795
19	41082757	41097305	92799
11	64107695	64125006	283234
Y	6317509	6325947	246122
7	135413096	135433594	389558
3	157823644	158263519	51319
3	5229331	5261642	9695
1	206223976	206231639	553
HG414_PATCH	76571911	76737841	55331
19	43905648	43922763	83639
2	218148742	218621316	729582
1	934342	935552	57801
X	16737755	16783459	94056
4	24519064	24586173	1665
5	38845960	38945698	9180
1	206238872	206288647	440712
12	7965108	8043744	144195
X	120072561	120075873	728096
X	120072561	120075873	728090
X	120072561	120075873	728062
X	120072561	120075873	728042
X	120072561	120075873	728036
X	120072561	120075873	653282
X	120072561	120075873	255313
Y	6338814	6341671	84673
21	37507210	37518864	874
HG414_PATCH	76745442	76753017	192134
17	26721661	26734215	113235
7	111366166	111846466	9732
11	11862970	11980870	55031
HSCHR6_MHC_QBL	30498660	30514458	2794
2	228474806	228498036	56918
10	71211229	71267425	23555
20	5731039	5844558	149840
HSCHR6_MHC_DBB	29053997	29055102	442184
HSCHR6_MHC_APD	29640388	29641038	346171
12	30862486	30907885	65981
10	91137813	91144962	439996
6	46188475	46459709	10231
1	948803	949920	9636
16	68021649	68113223	54920
HSCHR6_MHC_DBB	29079681	29080616	442186
20	62375019	62462597	140685
8	91803778	91971636	64168
16	88729706	88753594	197187
17	18538319	18565263	254272
5	126984736	126994322	613212
10	91152303	91163745	3434
1	206317459	206332104	1510
6	14117872	14137149	9308
1	44398992	44402913	9048
HG414_PATCH	76777976	76835592	726
11	64879317	64883856	7108
2	228549926	228582728	80704
HSCHR6_MHC_COX	31453328	31466366	4277
5	134669590	134735604	9555
HSCHR6_MHC_DBB	29141329	29142369	26707
17	66417089	66453654	55062
10	43867090	43871783	53828
HSCHR6_MHC_DBB	29274457	29275573	442191
19	43964939	43969812	27076
20	5892076	5906007	1114
13	34392186	34540695	5983
10	88614453	88615993	79871
21	37529080	37666572	9980
19	42387228	42434302	9138
16	29882480	29910868	26470
7	143632259	143633372	135948
20	62492566	62494341	140701
HSCHR6_MHC_DBB	29341259	29417808	81797
7	143657027	143658108	26211
1	955503	991496	375790
7	143701022	143702068	135946
HSCHR6_MHC_DBB	29364252	29365320	26529
11	59855734	59863444	2206
14	33404139	34273382	64067
X	77081861	77151090	84061
10	91174343	91180758	24138
3	12875984	12883087	6161
X	16804550	16862642	55787
8	17501304	17658426	57509
10	81697496	81742370	6441
1	45794835	45806142	4595
7	135611509	135662101	767558
15	42640301	42704516	825
10	103541082	103543170	10360
1	50513686	50669458	1996
2	228678558	228682272	6364
6	152442819	152958936	23345
2	113299492	113334635	84172
6	46517541	46620523	51302
12	68548548	68553527	3458
X	120077421	120080733	728096
X	120077421	120080733	728090
X	120077421	120080733	728062
X	120077421	120080733	728042
X	120077421	120080733	728036
X	120077421	120080733	653282
X	120077421	120080733	255313
9	18473892	18910948	92949
12	113658855	113736390	53373
12	119616447	119658936	26353
12	86268073	86276770	4922
20	5917881	5931182	51605
2	189156396	189460653	51454
15	100255902	100273766	145748
20	62496596	62522898	7165
3	184043484	184043559	692107
5	127419458	127525380	6558
17	44076616	44077060	246744
2	114256661	114258728	200350
X	120082282	120085594	728096
X	120082282	120085594	728090
X	120082282	120085594	728062
X	120082282	120085594	728042
X	120082282	120085594	728036
X	120082282	120085594	653282
X	120082282	120085594	255313
7	135612022	135612198	767558
12	56710007	56727837	9924
2	69240310	69476459	84168
Y	23556877	23563471	159125
